source,expert,quote,emotion_label,emotion_score,persuasion_score
1200,Professor Schall,"” Professor Schall agreed that this solution was not for everyone, nor did it suffice on its own.",neutral,0.9022423028945923,0.0
1200,Professor Schall,"Tuition increased this year, but Professor Schall said it was the lowest percentage increase in 20 years.",neutral,0.8024424910545349,0.0
1200,Professor Schall,"Professor Schall said there was a constant pressure on universities to increase their capacity to teach and do research, “and those things are expensive.",disgust,0.35788214206695557,0.0
1258,Professor Volokh,"“Sometimes when judges apply the rules, you can see that they’re holding their nose,” Professor Volokh said.",disgust,0.7925044894218445,0.0
1258,Professor Volokh,"Trump’s agenda in libel cases, said Professor Volokh, who has known the judge for decades.",disgust,0.4750639498233795,0.0
1258,Professor Volokh,"“To the extent people are worried that President Trump has an    project,” Professor Volokh said, “there’s nothing to suggest Neil would share that project.",fear,0.9165742993354797,0.04
1314,Professor Merve Kavakci,"Professor Merve Kavakci is herself a former lawmaker who was screamed at, and later expelled from Parliament, when she arrived at the building wearing a head scarf in 1999.",disgust,0.7813047170639038,0.0
1314,Professor Jenny White,"Professor Jenny White, an expert on the changing role of Islam and secularism within Turkey, argued that the democratization process was just one of several possible explanations for Wednesday’s intervention.",neutral,0.89827561378479,0.0
1339,Ms Haskell,” As Ms Haskell and Ms.,neutral,0.9308327436447144,0.0
1377,Professor Dutton,"“It’s naval power expansion for protecting commerce and China’s regional interests in the Horn of Africa,” Professor Dutton said.",neutral,0.8874307870864868,0.0
1377,Professor Dutton,Professor Dutton said Beijing would most likely try to “acclimatize” the world by using the facility for commercial purposes when it begins operating this year and then gradually increase the number and variety of warships that dock there.,neutral,0.9008566737174988,0.026
1445,Professor Katz,"The sorting of workers into different classes of companies will further widen the earnings gap as the rewards of the most profitable among them “increasingly go to a more limited group of highly compensated and   workers and to shareholders,” Professor Katz explained.",neutral,0.860927402973175,0.024
1445,Professor Katz,"Over all, Professor Katz estimates, the sorting of workers into   and   employers accounts for a quarter to a third of the increase of wage inequality in the United States since 1980.",neutral,0.615117073059082,0.0
1506,Professor Henning,"“With any type of systematic thwarting of the law, you’re flirting with disaster,” Professor Henning said.",disgust,0.532410740852356,0.0
1567,Professor Holman,"“To me, the 2016 election was hopefully an opportunity to be reminded that we’re not in some kind of postgender society,” Professor Holman said.",neutral,0.9382429718971252,0.0
1601,Professor Williams,"“All they see is their   daily lives, and they resent subsidies and sympathy available to the poor,” Professor Williams wrote.",anger,0.9291383028030396,0.0
1601,Professor Hochschild,"Welfare recipients, by contrast, just “lazed around days and partied at nights,” he told Professor Hochschild.",neutral,0.8609631657600403,0.0
1601,Professor Williams,"But, Professor Williams notes, the liberal goal can’t be saved without them: “If America’s policy makers better understood white   anger against the social safety net, they might have a shot at creating programs that don’t get gutted in this way.",neutral,0.5823594331741333,0.023
1701,Professor Young,"Professor Young’s political consciousness was rudely awakened when, as a Brooklyn teenager in 1953, she defied her father and watched from the fire escape of her family’s East Flatbush apartment as thousands of mourners gathered for the funeral of Julius and Ethel Rosenberg, who had been executed two days before at Sing Sing Prison for conspiracy to commit espionage.",sadness,0.4707396626472473,0.0
1701,Professor Young,"Young, the president of the New York Film Academy, Professor Young is survived by a daughter, Dr.",sadness,0.9500461220741272,0.0
1701,Professor Young,Professor Young joined the faculty of N.,joy,0.8738915920257568,0.0
1701,Professor Young,"“I find that I have spent most of my life as a teacher and scholar thinking and writing about war,” Professor Young said in her presidential address to the organization.",disgust,0.5715252161026001,0.0
1770,Professor Buehler,While Professor Buehler believes other factors contribute to the book’s endurance  —   the universal title and the seemingly genderless author  —   she credits librarians and teachers for supporting the book from the start.,joy,0.8893099427223206,0.0
1787,Professor Crawley,"It’s just that they don’t see there’s much point in moving,” Professor Crawley said.",neutral,0.9253388047218323,0.0
1862,Professor Persily,"“The Senate confirmation process for Supreme Court justices has always been cabined by norms of behavior and unwritten rules,” Professor Persily said.",neutral,0.8832393288612366,0.0
1862,Professor Persily,"“The court is increasingly being perceived as a political institution,” Professor Persily said.",disgust,0.5803437232971191,0.0
1862,Professor Ringhand,"” “One of the values of confirmation hearings is the public discussion of constitutional issues in the language of constitutional law,” Professor Ringhand said.",neutral,0.9027973413467407,0.0
1862,Professor Driver,"“Confirmation hearings can matter a great deal,” Professor Driver said.",neutral,0.693568229675293,0.0
1870,Mr Tillerson,"“We have committed ourselves to do everything we can to prevent a conflict from breaking out,” Mr Tillerson said at a press conference after meeting Mr.",neutral,0.6555175185203552,0.0
1880,Professor Richard,"“The older workers with younger bosses are less committed to the company,” Professor Richard said.",neutral,0.7098150253295898,0.0
1887,Professor Daryaee,"“People are all horrified with dismay, we thought that relationships were improving,” Professor Daryaee said.",fear,0.8291613459587097,0.0
1900,Professor Hughes,"“Climate change is not a future threat,” Professor Hughes said.",fear,0.5829302072525024,0.0
1900,Professor Hughes,Professor Hughes led those surveys.,neutral,0.8404236435890198,0.0
1900,Professor Hughes,"” Only 9 percent of the reef has avoided bleaching since 1998, Professor Hughes said, and now, the less remote, more heavily visited stretch from Cairns south is in trouble again.",fear,0.2864943742752075,0.0
1900,Professor Hughes,"Professor Hughes said he hoped the   this time would not be as serious as last year’s, but “   bleaching is   in Australia.",sadness,0.780225932598114,0.045
1900,Professor Hughes,"But Professor Hughes’s research found that, given the high temperatures, these national efforts to improve water quality were not enough.",neutral,0.5947381258010864,0.0
1900,Professor Hughes,"“The reefs in muddy water were just as fried as those in pristine water,” Professor Hughes said.",disgust,0.9333888292312622,0.0
1932,Professor Boersma,"“When there’s little food around,” Professor Boersma continued, “they save themselves, forgetting about both eggs and chicks.",neutral,0.9105790257453918,0.0
2019,Professor Feamster,"“Who, if anyone, takes control of your device while it’s not in your sight or possession?” Professor Feamster said.",neutral,0.5411933660507202,0.0
2019,Professor Feamster,"You could also consider traveling with an inexpensive computer that lacks any of your sensitive data, Professor Feamster added.",neutral,0.9684625864028931,0.053
2081,Professor Morone,"“He is the first Democrat to start calling Medicaid one of ‘our programs,’” said Professor Morone of Brown.",neutral,0.7639672756195068,0.0
2091,Professor Nix,"“It was very much a place of its own,” Professor Nix said.",neutral,0.9283635020256042,0.0
2129,Professor Greenslade,"” Professor Greenslade said the blatant sexism was done unapologetically, “with a sense of confidence on the understanding that they can’t see what the fuss is all about.",disgust,0.7198999524116516,0.0
2129,Professor Greenslade,"Thatcher  —   they still basically see women in a 1950s role, as an adornment,” Professor Greenslade said, referring to former Prime Minister Margaret Thatcher.",neutral,0.4160889983177185,0.0
2129,Professor Greenslade,Professor Greenslade saw the late change in the cover language as a belated attempt to   a controversy.,anger,0.4541332721710205,0.0
2131,Professor Pothole,"Graff to Lucius Joseph Riccio, the city’s transportation commissioner, and later nicknamed Professor Pothole by The New Yorker for pioneering the field of pothole analytics at Columbia University.",neutral,0.8722248077392578,0.0
2139,Professor Menon,"The politics are so toxic, Professor Menon added, that they make a disorderly departure from the bloc  —   often likened to walking off a cliff edge  —   plausible.",fear,0.8161212801933289,0.0
2139,Professor Menon,"Professor Menon, too, said he thought the messages from some British politicians, reinforced by tabloid newspapers aggressively for the exit, were destructive.",disgust,0.8123683333396912,0.0
2139,Professor Menon,"“Whatever happens, she is not going to have a great deal,” Professor Menon said, referring to Mrs.",neutral,0.806147575378418,0.0
2165,Ms Lu,"“My God,” Ms LuPone said.",surprise,0.9361308813095093,0.0
2225,Professor Weyland,"Chávez, by deriving their authority from a promise to champion popular will, “see any institutions outside their control as obstacles to be bypassed or overcome,” Professor Weyland wrote.",neutral,0.32636815309524536,0.036
2225,Professor Weyland,"“The logic of personalism drives populist politicians to widen their powers and discretion,” Professor Weyland wrote.",neutral,0.5858264565467834,0.0
2225,Professor Pepinsky,"“Just as democracies can be governed by authoritarians, so too can   democrats lay the groundwork for authoritarianism,” Professor Pepinsky wrote on his blog in February.",fear,0.6037015914916992,0.0
2439,Professor Greene,"“I can even imagine a court with Garland on it chipping away at the    rule that forbids limits on individual campaign expenditures,” Professor Greene said.",neutral,0.7595474720001221,0.0
2439,Professor Karlan,"“A president with unprecedented ignorance of, and contempt for, fundamental constitutional values has gotten the opportunity to fill Justice Scalia’s seat with a nominee who is likely to have a   career of moving the court to the right,” Professor Karlan said.",disgust,0.46054238080978394,0.0
2480,Ms Gendler,"(Fandor’s   monthly fee is $10.) “That’s wonderful for us,” Ms Gendler said.",joy,0.971325159072876,0.0
2546,Professor Pioppi,"“Regular people will understand the sign these three religious leaders are sending,” Professor Pioppi said in an interview on Friday.",neutral,0.9569727778434753,0.05
2552,Professor Walker,Professor Walker would discuss Plato and Confucius with Mr.,neutral,0.615394651889801,0.111
2552,Professor Appiah,"“I can’t say whether it’s the best use of his money,” Professor Appiah said.",neutral,0.8465707898139954,0.0
2557,Professor Strauss,"“The chief justice, who has spoken recently about how the confirmation process might affect the court’s stature, may be especially troubled by a   split in this case,” Professor Strauss said.",sadness,0.659300684928894,0.065
2557,Professor Adler,"Professor Adler, who was an architect of a challenge to the Affordable Care Act’s nationwide tax subsidies that the Supreme Court rejected last year in a majority opinion from Chief Justice Roberts, added that there was a second reason to worry about the chief justice’s vote in the Texas case.",fear,0.972711980342865,0.0
2606,Professor Howard,"” But Professor Howard, who advised Mr.",neutral,0.5914179682731628,0.0
2616,Professor Silverman,Professor Silverman of SUNY Buffalo said continued litigation of   cases highlighted both the intractable nature of the problem and the robust enforcement now unfolding nationally.,anger,0.49544844031333923,0.0
2624,Professor Bullock,"But, Professor Bullock said, with Donald J.",neutral,0.563869059085846,0.0
2766,Professor Dear,"“People always find a way to go above or below or through a wall,” said Professor Dear, the author of “Why Walls Won’t Work.",neutral,0.8091962933540344,0.0
2787,Professor Pierson,"Herz also read Welles’s part, that of a Professor Pierson at a New Jersey observatory, during rehearsals.",neutral,0.4910072684288025,0.0
2793,Professor Papachristos,"Professor Papachristos, the gang expert, said the more violent the neighborhood, the more teenagers and young men seek safety in numbers.",disgust,0.33629274368286133,0.0
2793,Professor Rosenfeld,"That is partly because public attention has driven down the share of domestic violence killings, which are routinely solved, Professor Rosenfeld said.",neutral,0.9148871898651123,0.0
2849,Professor English,"Professor English said the most common approach is the creation of a trust, either revocable (which means it can later be changed) or irrevocable, that anticipates such a problem and defines what the creator of the trust means by incapacity.",neutral,0.9686174988746643,0.0
2849,Professor English,"“The document should define the meaning of incapacity and, more importantly, indicate who determines incapacity,” Professor English said.",neutral,0.8031299710273743,0.056
2897,Professor Dauber,Professor Dauber said the judge had misapplied the law by granting Mr.,anger,0.5923869013786316,0.0
2897,Professor Dauber,"On Sunday, Professor Dauber posted to Twitter a statement read to the court by the defendant’s father, Dan Turner.",neutral,0.8104705214500427,0.0
2912,Professor Dauber,"• Besides a flood of critical comments online against the judge, Professor Dauber, a friend of the victim’s family, said that she was part of an organization seeking to recall him.",anger,0.6781967282295227,0.0
2921,Professor Coffee,"” As Professor Coffee put it, “This is a perfect example of a favor bank, which is exactly how Wall Street works.",neutral,0.8709171414375305,0.0
2921,Professor Coffee,"(This person and others insisted on anonymity because the situation involved a pending criminal matter.) “Some people would risk anything rather than suffer that kind of personal embarrassment,” Professor Coffee said.",neutral,0.5327674746513367,0.032
2945,Professor Skeel,"“The company is throwing away money,” Professor Skeel said.",disgust,0.5392737984657288,0.0
2967,Professor Zelizer,Professor Zelizer cast Mr.,neutral,0.7851709127426147,0.0
2969,Professor Feldman,"“Trial court judges do not really go for   theories or highly novel adaptations of established theories,” said Professor Feldman of Georgetown.",neutral,0.9278157949447632,0.0
3033,Professor Jaros,"“I think it’s a mistake for people to focus entirely on whether or not there’s a criminal conviction here,” Professor Jaros said, “rather than on whether or not we have ample proof of serious problems with police in Baltimore that require that we explore: How are we going to prevent these in the future?”",neutral,0.6283299922943115,0.0
3039,Professor Bale,"” If the Remain campaign loses, “the chances of him staying on are pretty remote,” Professor Bale said.",neutral,0.7771317362785339,0.0
3039,Professor Travers,"“Cameron didn’t need to do it,” Professor Travers said.",neutral,0.781202495098114,0.0
3062,Professor Mc,"U.,” Professor McCormick said.",neutral,0.43365129828453064,0.0
3062,Professor Crombez,"The European Union has little choice, Professor Crombez said.",disgust,0.37772828340530396,0.0
3062,Professor Mc,"“No one will say this, but there’s an element of racism,” Professor McCormick said.",disgust,0.6110876798629761,0.067
3062,Professor Mc,"“The Swiss have access to the European market, but they have very little leverage,” Professor McCormick said.",neutral,0.8632118105888367,0.0
3062,Professor Mc,"“There’s a lot of correlation,” Professor McCormick said.",neutral,0.9343422651290894,0.0
3090,Professor Bell,"A plausible argument could be made that withdrawing from the European Union over the objections of the Scottish Parliament would violate that law, Professor Bell said.",anger,0.4669986367225647,0.077
3132,Professor Travers,"Even on the economy, the Leave side was made of   economists who believe in no tariffs at all, those who believe in trade deals and protectionists who want to shield the declining working class against globalization, Professor Travers said.",neutral,0.8112133741378784,0.0
3140,Professor Epstein,"In all, though, the justices are doing what they can to find common ground, Professor Epstein said.",neutral,0.9537750482559204,0.0
3163,Professor Harrison,"“You can bet that organized labor and all of the associated businesses will be putting pressure on Sweeney to compromise in some way,” Professor Harrison said.",neutral,0.9096593260765076,0.038
3170,Professor Gerges,"“In Islamic history, Ramadan is a reminder to Muslims of who they are, separating the faithful from the ” Professor Gerges said.",disgust,0.566483736038208,0.0
3170,Professor Gerges,"Since those losses undermine the jihadists’ claim to have a powerful state with its own territory,   attacks abroad serve as “force multipliers, because they divert attention from what is happening in Iraq and Syria,” Professor Gerges said.",fear,0.31781843304634094,0.0
3174,Professor Donner,"“It’s not about the place going underwater,” Professor Donner said, noting that some of Kiribati’s islands had actually grown in recent years because of land reclamation or natural coastal dynamics.",neutral,0.9284215569496155,0.0
3208,Professor Keyssar,"19, then the electors could have the opportunity to vote for another candidate, Professor Keyssar said.",neutral,0.9486315250396729,0.062
3208,Professor Keyssar,"It is also unclear what would happen, Professor Keyssar said, if Mr.",neutral,0.46761181950569153,0.083
3208,Professor Keyssar,"20, Professor Keyssar said the closest guidance would probably come from Section Three of the 20th Amendment: “If, at the time fixed for the beginning of the term of the president, the   shall have died, the vice   shall become president.",neutral,0.6313608288764954,0.075
3208,Professor Keyssar,"” “Nothing like this has ever happened,” Professor Keyssar said.",neutral,0.6647371053695679,0.0
3220,Professor Griff,"Griffin, known as Professor Griff, made headlines in the 1980s for   comments and has been a longtime supporter of the New Black Panther Party.",neutral,0.7764471173286438,0.0
3246,Professor Kingston,” Professor Kingston added: “There is not an alternative.,neutral,0.5667898058891296,0.0
3246,Professor Nakano,” Professor Nakano noted that Mr.,neutral,0.7619421482086182,0.0
3246,Professor Nakano,"” “I cannot be as naïve as to think that there will be free debate in a   to a national referendum,” Professor Nakano said.",fear,0.6179287433624268,0.043
3257,Professor Riley Bowles,"“The key thing is to turn it around and think about what it is legitimate to this person and what they value,” Professor Riley Bowles added.",neutral,0.9497319459915161,0.0
3257,Professor Babcock,"“It comes across very cold, very hard and very direct, so all of the things that women tend to do in conversation that soften their approach are impossible to do in email,” Professor Babcock said.",neutral,0.43889886140823364,0.0
3257,Professor Babcock,"“It is impossible to say in any particular case whether” gender played a role, Professor Babcock said.",neutral,0.7510862946510315,0.0
3257,Professor Babcock,"But this tactic may harm women because it can be perceived as a threat, experts said, “Every negotiation textbook says to use an outside offer, except for mine,” said Professor Babcock, who with Professor Riley Bowles, studied the effects of using outside offers in an experimental setting.",fear,0.5323075652122498,0.021
3257,Professor Riley Bowles,"But this tactic may harm women because it can be perceived as a threat, experts said, “Every negotiation textbook says to use an outside offer, except for mine,” said Professor Babcock, who with Professor Riley Bowles, studied the effects of using outside offers in an experimental setting.",fear,0.5323075652122498,0.021
3257,Professor Riley Bowles,"“When you are personally inflamed or nervous,   helps to get into someone else’s perspective,” Professor Riley Bowles said.",anger,0.7468565702438354,0.0
3289,Ms Hyltin,It was good to go back there and be awake this time!” “I feel almost Parisian by now!” Ms Hyltin said after company class on Monday.,joy,0.6293103098869324,0.0
3324,Professor Orfield,"Anthony, which patrols Falcon Heights and two other suburbs, had declined to participate in the state’s 2003 study of racial profiling in traffic stops, even though the decision meant forgoing police cameras and other incentives, Professor Orfield said.",neutral,0.5970831513404846,0.0
3354,Professor Hasen,"“If Texas had been allowed to do what it’s been trying to do, that would be a green light for other states to try something similar,” Professor Hasen said.",neutral,0.9327035546302795,0.033
3515,Professor Ruoff,"Prince Naruhito “represents continuity” with Emperor Akihito in terms of personality and priorities, Professor Ruoff said.",neutral,0.9157983064651489,0.0
3515,Professor Ruoff,Professor Ruoff said Emperor Akihito’s biggest achievement had been to focus attention on social welfare causes.,neutral,0.6182414293289185,0.0
3515,Professor Ruoff,"“Akihito and Michiko have spent a tremendous amount of time leveraging their prestige on behalf of the least privileged members of Japanese society,” Professor Ruoff said.",neutral,0.8181038498878479,0.0
3676,Professor Painter,Professor Painter advised Mr.,disgust,0.4636184871196747,0.0
3676,Professor Painter,"Trump’s opaque portfolio of business ties makes him potentially vulnerable to the demands of banks, and to business people in the United States and abroad, said Professor Painter, the former chief White House ethics lawyer.",fear,0.8699009418487549,0.0
3695,Professor Berkman,"This has been something of a double shift, Professor Berkman said, especially for   and   American women, many of whom are not protected by maternity and parental leave policies.",neutral,0.5112970471382141,0.0
3695,Professor Montez,"(About half of the states have an   tax program that goes beyond that of the federal government, Professor Montez said.) The researchers also looked at spending on education and tobacco policies, like taxes on cigarettes.",neutral,0.9147054553031921,0.0
3695,Professor Montez,"Social factors are stronger in rural states, Professor Montez said.",neutral,0.8307972550392151,0.0
3695,Professor Montez,"(New York made the list because of its high rate of income inequality, Professor Montez said.",neutral,0.5890296697616577,0.0
3721,Professor Rothery,"“Shallow earthquakes cause more destruction than deep earthquakes because the shallowness of the source makes the   at the surface worse,” Professor Rothery said.",disgust,0.5884981751441956,0.0
3731,Professor Ahmed,"“One day you find oil, and the world is coming to you,” Professor Ahmed said.",neutral,0.47546255588531494,0.0
3748,Professor Stone,"Manier referred queries to Professor Stone, a former university provost.",disgust,0.5295056104660034,0.0
3748,Professor Stone,"Zimmer and headed by Professor Stone,  produced a report stating that “it is not the proper role of the university to attempt to shield individuals from ideas and opinions they find unwelcome, disagreeable, or even deeply offensive.",disgust,0.6124310493469238,0.0
3748,Professor Stone,"” “We didn’t feel we were doing something, internal to the University of Chicago, that was in any way radical or different,” Professor Stone said Friday.",neutral,0.5306415557861328,0.0
3748,Professor Stone,"” Since Professor Stone’s committee produced its report, several other universities, including Princeton, Purdue, Columbia and the University of Wisconsin system, have adopted similar policies or statements, some of them taken almost verbatim from the report.",neutral,0.9371170401573181,0.0
3749,Professor Frantz,"“When she called up I thought it was one of my friends playing a practical joke,” said Professor Frantz, who became Ms.",joy,0.36819836497306824,0.0
3768,Professor Clemente,"“There would be four pages on what a woman could wear to work, and four sentences for men,” Professor Clemente said.",neutral,0.9416089057922363,0.095
