Title,StoreId,ArticleType,Authors,companies,copyright,documentType,entryDate,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,URL,FindACopy,Database
Wait! Wait! Georgia's Over?: [Op-Ed]: [Op-Ed],2747780011,newspapers,"Collins, Gail", Senate," Copyright New York Times Company Dec 8, 2022"," Opinions , Commentary"," Dec 8, 2022", English, English, A.27," New York, N.Y.","Dec 8, 2022",New York Times,2022,https://www.proquest.com/newspapers/wait-georgias-over-op-ed/docview/2747780011/se-2?accountid=14026, https://www.nytimes.com/2022/12/07/opinion/georgia-election-walker-warnock.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=Wait%21+Wait%21+Georgia%27s+Over%3F%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Collins%2C+Gail&amp;rft.aulast=Collins&amp;rft.aufirst=Gail&amp;rft.date=2022-12-08&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.27&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
"Yes, the Players in the World Cup Do Keep Falling Over for No Reason: [Op-Ed]: [Op-Ed]",2747779989,newspapers,"Papineau, David",," Copyright New York Times Company Dec 8, 2022"," Opinions , Commentary"," Dec 8, 2022", English, English, A.26," New York, N.Y.","Dec 8, 2022",New York Times,2022,https://www.proquest.com/newspapers/yes-players-world-cup-do-keep-falling-over-no/docview/2747779989/se-2?accountid=14026, https://www.nytimes.com/2022/12/06/opinion/football-world-cup-diving.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=Yes%2C+the+Players+in+the+World+Cup+Do+Keep+Falling+Over+for+No+Reason%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Papineau%2C+David&amp;rft.aulast=Papineau&amp;rft.aufirst=David&amp;rft.date=2022-12-08&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.26&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
"She Was a Fat, Glamorous Actress. That Was Radical.: [Op-Ed]: [Op-Ed]",2747779981,newspapers,"Weiner, Jennifer",," Copyright New York Times Company Dec 8, 2022"," Opinions , Commentary"," Dec 8, 2022", English, English, A.26," New York, N.Y.","Dec 8, 2022",New York Times,2022,https://www.proquest.com/newspapers/she-was-fat-glamorous-actress-that-radical-op-ed/docview/2747779981/se-2?accountid=14026, https://www.nytimes.com/2022/12/07/opinion/kirstie-alley-fat-glamorous-radical.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=She+Was+a+Fat%2C+Glamorous+Actress.+That+Was+Radical.%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Weiner%2C+Jennifer&amp;rft.aulast=Weiner&amp;rft.aufirst=Jennifer&amp;rft.date=2022-12-08&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.26&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
It Matters That China's Protests Started in Xinjiang: [Op-Ed]: [Op-Ed],2747149107,newspapers,"Millward, James A",," Copyright New York Times Company Dec 7, 2022"," Opinions , Commentary"," Dec 7, 2022", English, English, A.22," New York, N.Y.","Dec 7, 2022",New York Times,2022,https://www.proquest.com/newspapers/matters-that-chinas-protests-started-xinjiang-op/docview/2747149107/se-2?accountid=14026, https://www.nytimes.com/2022/12/06/opinion/china-protests-xinjiang-uighurs.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=It+Matters+That+China%27s+Protests+Started+in+Xinjiang%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Millward%2C+James+A&amp;rft.aulast=Millward&amp;rft.aufirst=James&amp;rft.date=2022-12-07&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.22&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
How Biden Can Help Save the Middle East: [Op-Ed]: [Op-Ed],2747149103,newspapers,"Friedman, Thomas L",," Copyright New York Times Company Dec 7, 2022"," Opinions , Commentary"," Dec 7, 2022", English, English, A.23," New York, N.Y.","Dec 7, 2022",New York Times,2022,https://www.proquest.com/newspapers/how-biden-can-help-save-middle-east-op-ed/docview/2747149103/se-2?accountid=14026, https://www.nytimes.com/2022/12/06/opinion/how-biden-can-help-save-the-middle-east.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=How+Biden+Can+Help+Save+the+Middle+East%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Friedman%2C+Thomas+L&amp;rft.aulast=Friedman&amp;rft.aufirst=Thomas&amp;rft.date=2022-12-07&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.23&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
Are We Sleepwalking Through a 'Decisive Decade'?: [Op-Ed]: [Op-Ed],2747149086,newspapers,"Stephens, Bret",," Copyright New York Times Company Dec 7, 2022"," Opinions , Commentary"," Dec 7, 2022", English, English, A.23," New York, N.Y.","Dec 7, 2022",New York Times,2022,https://www.proquest.com/newspapers/are-we-sleepwalking-through-decisive-decade-op-ed/docview/2747149086/se-2?accountid=14026, https://www.nytimes.com/2022/12/06/opinion/military-defense-spending.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=Are+We+Sleepwalking+Through+a+%27Decisive+Decade%27%3F%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Stephens%2C+Bret&amp;rft.aulast=Stephens&amp;rft.aufirst=Bret&amp;rft.date=2022-12-07&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.23&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
Wildlife Rescue Heals the Human Heart: [Op-Ed]: [Op-Ed],2747149061,newspapers,"Renkl, Margaret",," Copyright New York Times Company Dec 7, 2022"," Opinions , Commentary"," Dec 7, 2022", English, English, A.22," New York, N.Y.","Dec 7, 2022",New York Times,2022,https://www.proquest.com/newspapers/wildlife-rescue-heals-human-heart-op-ed/docview/2747149061/se-2?accountid=14026, https://www.nytimes.com/2022/12/05/opinion/wildlife-rescue-human-kindness.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=Wildlife+Rescue+Heals+the+Human+Heart%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Renkl%2C+Margaret&amp;rft.aulast=Renkl&amp;rft.aufirst=Margaret&amp;rft.date=2022-12-07&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.22&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
Evangelical Leaders' Empty Gestures: [Op-Ed]: [Op-Ed],2746856696,newspapers,"Goldberg, Michelle",," Copyright New York Times Company Dec 6, 2022"," Opinions , Commentary"," Dec 6, 2022", English, English, A.27," New York, N.Y.","Dec 6, 2022",New York Times,2022,https://www.proquest.com/newspapers/evangelical-leaders-empty-gestures-op-ed/docview/2746856696/se-2?accountid=14026, https://www.nytimes.com/2022/12/05/opinion/trump-evangelical-leaders.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=Evangelical+Leaders%27+Empty+Gestures%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Goldberg%2C+Michelle&amp;rft.aulast=Goldberg&amp;rft.aufirst=Michelle&amp;rft.date=2022-12-06&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.27&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
The Political Winds Are Blowing. And Blowing.: [Op-Ed]: [Op-Ed],2746856645,newspapers,"Collins, Gail; Stephens, Bret"," Republican Party , Senate"," Copyright New York Times Company Dec 6, 2022"," Opinions , Commentary"," Dec 6, 2022", English, English, A.26," New York, N.Y.","Dec 6, 2022",New York Times,2022,https://www.proquest.com/newspapers/political-winds-are-blowing-op-ed/docview/2746856645/se-2?accountid=14026, https://www.nytimes.com/2022/12/05/opinion/biden-georgia-runoff-student-loans.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=The+Political+Winds+Are+Blowing.+And+Blowing.%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Collins%2C+Gail%3B+Stephens%2C+Bret&amp;rft.aulast=Collins&amp;rft.aufirst=Gail&amp;rft.date=2022-12-06&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.26&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
Russia's Politicians Can't Bear This Book: [Op-Ed]: [Op-Ed],2746856613,newspapers,"Schimpfössl, Elisabeth; Sandalov, Felix", TikTok Inc," Copyright New York Times Company Dec 6, 2022"," Opinions , Commentary"," Dec 6, 2022", English, English, A.27," New York, N.Y.","Dec 6, 2022",New York Times,2022,https://www.proquest.com/newspapers/russias-politicians-cant-bear-this-book-op-ed/docview/2746856613/se-2?accountid=14026, https://www.nytimes.com/2022/12/04/opinion/russia-lgbt-putin.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=Russia%27s+Politicians+Can%27t+Bear+This+Book%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Schimpf%C3%B6ssl%2C+Elisabeth%3B+Sandalov%2C+Felix&amp;rft.aulast=Schimpf%C3%B6ssl&amp;rft.aufirst=Elisabeth&amp;rft.date=2022-12-06&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.27&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
A Fringe Claim Before the Supreme Court Would Upend Democracy: [Op-Ed]: [Op-Ed],2746856610,newspapers,"Cooper, Roy",," Copyright New York Times Company Dec 6, 2022"," Opinions , Commentary"," Dec 6, 2022", English, English, A.26," New York, N.Y.","Dec 6, 2022",New York Times,2022,https://www.proquest.com/newspapers/fringe-claim-before-supreme-court-would-upend/docview/2746856610/se-2?accountid=14026, https://www.nytimes.com/2022/12/05/opinion/supreme-court-elections-vote.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=A+Fringe+Claim+Before+the+Supreme+Court+Would+Upend+Democracy%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Cooper%2C+Roy&amp;rft.aulast=Cooper&amp;rft.aufirst=Roy&amp;rft.date=2022-12-06&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.26&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
